dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,activities,human_resource_count,15,Success
cost,activities,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,activities,labor_cost,,Column 'cost:labor' is not present in event log.
cost,activities,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,activities,resource_count,,Column 'org:resource' is not present in event log.
cost,activities,rework_cost,,Column 'cost:total' is not present in event log.
cost,activities,rework_count,3,Success
cost,activities,rework_percentage,0.029,Success
cost,activities,total_cost,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,,Column 'cost:total' is not present in event log.
cost,cases,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,cases,human_resource_count,4,Success
cost,cases,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,cases,labor_cost,,Column 'cost:labor' is not present in event log.
cost,cases,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,cases,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,cases,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,cases,overhead_cost,,Column 'cost:total' is not present in event log.
cost,cases,resource_count,,RESOURCE column not found in event log.
cost,cases,rework_cost,,Column 'cost:total' is not present in event log.
cost,cases,rework_count,0,Success
cost,cases,rework_percentage,0.0,Success
cost,cases,total_cost,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,cases,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,desired_activity_count,6,Success
cost,groups,direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_desired_activity_count,2.0,Success
cost,groups,expected_direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,expected_human_resource_count,3.333,Success
cost,groups,expected_inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,expected_labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,expected_labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,expected_maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,expected_missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,expected_overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_resource_count,,RESOURCE column not found in event log.
cost,groups,expected_rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_rework_count,0.0,Success
cost,groups,expected_rework_percentage,0.0,Success
